R,G,B,Name,Artkal Midi,Artkal Mini,Artkal Mini Starter,Artkal Midi Soft,Artkal Mini Soft,All Perler,Perler Multi Mix,Perler Mini Assorted,Perler Mini Bulk,EvoRetro,Funzbo
154,85,22,Metallic Gold,S41,,,R41,,,,,,,
125,124,121,Metallic Silver,S42,C35,,R42,A35,,,,,,
118,119,119,Dark Gray,S43,C34,C34,R43,A34,,,,,,
170,220,235,Sky Blue,S44,C18,,R44,A18,,,,,,
0,178,169,Medium Turquoise,S45,C54,C54,R45,A54,,,,,,
115,211,60,Bright Green,S46,C53,,R46,A53,,,,,,
180,126,0,Marigold,S47,C28,,R47,A28,,,,,,
255,199,44,Corn,S48,C48,C48,R48,A48,,,,,,
114,25,95,Mulberry Wood,S49,,,R49,,,,,,,
250,170,114,Mandy's Pink,S50,,,R50,,,,,,,
252,251,205,Spring Sun,S51,C51,C51,R51,A51,,,,,,
242,240,161,Picasso,S52,C10,C10,R52,A10,,,,,,
105,179,231,Turquoise,S53,C38,C38,R53,A38,,,,,,
0,144,218,Light Blue,S54,C20,C20,R54,A20,,,,,,
173,220,145,Pistachio,S55,C12,C12,R57,A12,,,,,,
255,106,19,Bright Carrot,S56,C16,,R59,A16,,,,,,
164,73,61,Buccaneer,S57,C29,,R63,A29,,,,,,
165,0,52,Paprika,S58,C43,,R64,A43,,,,,,
74,31,135,Butterfly Bush,S59,C52,C52,,A52,,,,,,
167,123,202,Lavender,S60,C25,C25,R66,A25,,,,,,
206,220,0,Key Lime Pie,S61,C40,,R68,A40,,,,,,
0,124,88,Green Tea,S62,C15,C15,R69,A15,,,,,,
88,87,53,Metallic Copper,S63,,,R70,,,,,,,
5,8,73,Black Rock,S64,C58,,R55,A58,,,,,,
243,234,93,Canary,S65,C46,,R58,A46,,,,,,
244,99,58,Blaze Orange,S66,,,R60,,,,,,,
243,207,179,Vanilla,S67,C47,C47,R61,A47,,,,,,
225,192,120,Tan,S68,,,R71,,,,,,,
40,40,40,Mine Shaft,S69,C69,,R72,A69,,,,,,
155,188,17,Dark Algae,S70,C84,,R89,A84,,,,,,
0,133,34,Jade Green,S71,C86,C86,R73,A86,,,,,,
89,213,216,Light Sea Blue,S72,C79,C79,R74,A79,,,,,,
72,169,197,Steel Blue,S73,C81,C81,R91,A81,,,,,,
0,174,214,Azure,S74,C82,C82,R75,A82,,,,,,
0,133,173,Dark Steel Blue,S75,C83,,R92,A83,,,,,,
0,174,199,Sea Blue,S76,C80,,R76,A80,,,,,,
239,239,239,Ghost While,S77,C87,,R77,A87,,,,,,
209,209,209,Ash Grey,S78,C88,C88,R78,A88,,,,,,
187,188,188,Light Gray,S79,C89,,R79,A89,,,,,,
153,155,48,Dark Olive,S80,C85,,R90,A85,,,,,,
205,178,119,Deer,S81,C74,,R81,A74,,,,,,
181,129,80,Clay,S82,C75,,R82,A75,,,,,,
184,97,37,Sienna,S83,C73,,R83,A73,,,,,,
170,87,97,Deep Chestnut,S84,C77,,R84,A77,,,,,,
92,19,27,Red Wine,S85,C78,C78,R85,A78,,,,,,
234,170,0,Goldenrod,S86,C71,,R86,A71,,,,,,
255,109,106,Coral Red,S87,C76,,R87,A76,,,,,,
218,24,132,Dark Pink,S88,,,,,,,,,,
77,77,77,Charcoal Gray,S89,C90,,R88,A90,,,,,,
255,197,110,Pastel Orange,S90,C72,,R80,A72,,,,,,
24,48,40,Brunswick Green,S91,C70,C70,R93,A70,,,,,,
222,185,71,Dandelion,S92,C91,,,A91,,,,,,
218,182,152,Pale Skin,S93,C92,,,A92,,,,,,
244,169,153,Warm Blush,S94,C93,,,A93,,,,,,
238,125,103,Salmon,S95,C94,,,A94,,,,,,
240,134,97,Apricot,S96,C95,,,A95,,,,,,
212,114,42,Papaya,S97,C96,,,A96,,,,,,
100,172,223,Himalaya Blue,S98,C97,,,A97,,,,,,
100,194,220,Waterfall,S99,C98,,,A98,,,,,,
93,219,93,Spring Green,,C45,,R56,A45,,,,,,
108,194,74,Confier,,C55,,,A55,,,,,,
188,4,35,Fresh Red,,C57,C57,R65,A57,,,,,,
83,26,35,Scarlett,,C59,,R62,A59,,,,,,
241,235,156,Feta,,C61,,,A61,,,,,,
252,63,63,Carnation,,C62,,,A62,,,,,,
234,190,219,Pink Pearl,,C63,,,A63,,,,,,
165,0,80,Rose,,C64,C64,,A64,,,,,,
239,129,46,Mango Tango,,C65,,,A65,,,,,,
252,108,133,Wild Watermelon,,C66,,,A66,,,,,,
177,78,181,Orchid,,C67,,,A67,,,,,,
105,194,238,Toothpaste Blue,,C68,C68,,A68,,,,,,
255,197,110,Yolk Yellow,,,,R67,,,,,,,
255,255,255,White,,,,,,1,1,,1,,
190,195,191,Light Gray,,,,,,1,,,1,,
150,152,156,Gray,,,,,,1,1,,1,,
147,161,159,Pewter,,,,,,1,,,,,
84,95,95,Charcoal,,,,,,1,,,,,
86,87,92,Dark Gray,,,,,,1,,,,,
0,0,0,Black,,,,,,1,1,,1,,
241,229,216,Toasted Marshmallow,,,,,,1,,,1,,
234,196,159,Sand,,,,,,1,,,1,,
215,176,135,Fawn,,,,,,1,,,,,
207,168,137,Tan,,,,,,1,1,,1,,
160,78,63,Rust,,,,,,1,,,,,
136,64,79,Cranapple,,,,,,1,,,,,
164,123,71,Light Brown,,,,,,1,1,,1,,
126,84,70,Gingerbread,,,,,,1,,,,,
108,82,77,Brown,,,,,,1,1,,1,,
237,231,186,Creme,,,,,,1,,,,,
250,238,141,Pastel Yellow,,,,,,1,,,,,
249,215,55,Yellow,,,,,,1,1,,1,,
255,182,78,Cheddar,,,,,,1,1,,,,
255,128,62,Orange,,,,,,1,,,1,,
225,154,82,Butterscotch,,,,,,1,1,,1,,
218,140,44,Honey,,,,,,1,,,,,
255,97,88,Hot Coral,,,,,,1,1,,,,
255,119,127,Salmon,,,,,,1,,,,,
255,158,141,Blush,,,,,,1,1,,,,
255,181,190,Flamingo,,,,,,1,,,,,
252,198,184,Peach,,,,,,1,,,1,,
245,192,213,Light Pink,,,,,,1,,,,,
225,109,157,Bubblegum,,,,,,1,,,1,,
230,87,148,Pink,,,,,,1,,,,,
243,70,118,Magenta,,,,,,1,,,,,
196,58,68,Red,,,,,,1,1,,1,,
173,51,69,Cherry,,,,,,1,,,,,
173,60,108,Raspberry,,,,,,1,1,,,,
178,95,170,Plum,,,,,,1,1,,,,
180,166,211,Lavender,,,,,,1,,,,,
149,130,187,Pastel Lavender,,,,,,1,1,,1,,
111,84,147,Purple,,,,,,1,1,,1,,
135,167,225,Blueberry Crème,,,,,,1,,,,,
108,136,191,Periwinkle,,,,,,1,,,,,
180,217,223,Robin's Egg,,,,,,1,,,,,
99,169,214,Pastel Blue,,,,,,1,,,,,
39,138,203,Light Blue,,,,,,1,1,,1,,
0,102,179,Cobalt,,,,,,1,,,,,
43,48,124,Dark Blue,,,,,,1,1,,1,,
22,40,70,Midnight,,,,,,1,,,,,
176,232,213,Toothpaste,,,,,,1,1,,1,,
0,143,204,Turquoise,,,,,,1,1,,1,,
56,199,175,Light Green,,,,,,1,,,,,
0,150,138,Parrot Green,,,,,,1,1,,,,
115,213,148,Pastel Green,,,,,,1,1,,,,
119,202,74,Kiwi Lime,,,,,,1,1,,1,,
84,177,96,Bright Green,,,,,,1,,,1,,
0,150,84,Shamrock,,,,,,1,,,,,
16,131,85,Dark Green,,,,,,1,1,,1,,
203,215,53,Prickly Pear,,,,,,1,,,,,
60,97,79,Evergreen,,,,,,1,,,,,
247,209,0,Yellow,,,,,,,,,,1,
255,147,0,Orange,,,,,,,,,,1,
250,217,138,Cream,,,,,,,,,,1,
238,0,4,Red,,,,,,,,,,1,
161,171,172,Gray,,,,,,,,,,1,
0,63,44,Dark Green,,,,,,,,,,1,
2,18,153,Blue,,,,,,,,,,1,
116,38,160,Purple,,,,,,,,,,1,
