R,G,B,Artkal Midi Soft,Artkal Mini Soft,Artkal Mini,Artkal Midi,Name
0,133,173,R92,A83,C83,S75,Dark Steel Blue
0,174,199,R76,A80,C80,S76,Sea Blue
239,239,239,R77,A87,C87,S77,Ghost While
209,209,209,R78,A88,C88,S78,Ash Grey
187,188,188,R79,A89,C89,S79,Light Gray
153,155,48,R90,A85,C85,S80,Dark Olive
205,178,119,R81,A74,C74,S81,Deer
181,129,80,R82,A75,C75,S82,Clay
184,97,37,R83,A73,C73,S83,Sienna
170,87,97,R84,A77,C77,S84,Deep Chestnut
92,19,27,R85,A78,C78,S85,Red Wine
234,170,0,R86,A71,C71,S86,Goldenrod
255,109,106,R87,A76,C76,S87,Coral Red
218,24,132,,,,S88,Dark Pink
77,77,77,R88,A90,C90,S89,Charcoal Gray
255,197,110,R80,A72,C72,S90,Pastel Orange
24,48,40,R93,A70,C70,S91,Brunswick Green
222,185,71,,A91,C91,S92,Dandelion
218,182,152,,A92,C92,S93,Pale Skin
244,169,153,,A93,C93,S94,Warm Blush
238,125,103,,A94,C94,S95,Salmon
240,134,97,,A95,C95,S96,Apricot
212,114,42,,A96,C96,S97,Papaya
100,172,223,,A97,C97,S98,Himalaya Blue
100,194,220,,A98,C98,S99,Waterfall
93,219,93,R56,A45,C45,,Spring Green
108,194,74,,A55,C55,,Confier
188,4,35,R65,A57,C57,,Fresh Red
83,26,35,R62,A59,C59,,Scarlett
241,235,156,,A61,C61,,Feta
252,63,63,,A62,C62,,Carnation
234,190,219,,A63,C63,,Pink Pearl
165,0,80,,A64,C64,,Rose
239,129,46,,A65,C65,,Mango Tango
252,108,133,,A66,C66,,Wild Watermelon
177,78,181,,A67,C67,,Orchid
105,194,238,,A68,C68,,Toothpaste Blue
255,197,110,R67,,,,Yolk Yellow
